Job Title,Education Level,Experience,Location,Salary
Data Scientist,Bachelors,1,New York,85000
Data Analyst,Bachelors,2,San Francisco,60000
Web Developer,Bachelors,3,Austin,72000
ML Engineer,Masters,4,Seattle,110000
Software Engineer,Masters,5,Boston,105000
Data Scientist,PhD,6,New York,150000
Web Developer,Masters,2,Austin,80000
Data Analyst,Bachelors,1,Boston,62000
ML Engineer,PhD,8,San Francisco,145000
Software Engineer,Masters,7,Seattle,115000
Data Scientist,Masters,5,Boston,108000
Web Developer,Bachelors,4,Seattle,95000
ML Engineer,PhD,9,New York,160000
Software Engineer,Bachelors,3,Austin,78000
Data Analyst,Masters,6,San Francisco,125000
